,comments
944,"I love this stuff under the hood about Blizzard and even corporate culture in general. I was frontline customer service GM for Wow in the golden age from 2007-2010. That opening line about it being the best of times and worst of times is so true, it was simultaneously the coolest and funnest job they also had all the bs from most other jobs.<br><br>I was relating about all this the other day so it&#39;s fresh in my mind. It&#39;s hard to say how or if things could&#39;ve been different had things happened differently, but I was there for the Activision merger and that was the beginning of the end imo. That was 4 months before wrath dropped for reference.<br><br>I don&#39;t remember this guy&#39;s position, indo t remember his name either, but he was some sort of director, and he was flanked on the stage with a handful of other bright corporate transfers and they were going to change the company and how everything operated. Most of these guys were retired dellionaire dropouts that thought their money came from their hard work and talent. They were in the right place at the right time, and when you&#39;re successful through luck like that, you get your resumé entry for free and then people grovel at you and your success.<br><br>I remember they interrupted our entire facility for a mandatory meeting in a hotel to watch these assholes self congratulate themselves and talk up the merger. They were all ecstatic because they knew they&#39;d be getting a whole lot of money for nothing. Boomer Dellionaires and customer service executives from airline companies and shit. I remember at the time fuming, because wtf does Amy of that have to do with gaming? Why not promote the people that had already been with blizzard and with wow for years?<br><br>I felt vindicated as most of those people got their stock options for the wrath release and before long had moved on as corporatist vultures. Meanwhile, they had so drastically changed the nature of the customer service we were doing that it made it either impossible, or pointless. Before the merger, GM&#39;s had power, we had to say no a lot, and we had to leave it at that and move on, and we had the authority to do that. Granted, a lot of things later on became integrated in the game experience, like being able to trade BoP items or undelete something accidentally or rage deleted, like characters. Back then it was about the integrity of the game, which seems like such an archaic concept now. We had a whole set of policy rules that were created organically since vanilla launch that we had to adhere to unless the circumstances were exceptional, which was rare. After the merger, we couldn&#39;t say no, we had to say yes but no, we had to do song and dance and make you happy that we said no, and that was &quot;customer service.&quot; Then they added a quality metric, so we were pissing every other person off by trying to make them happy we were saying no, and rventually your metric dips, you get reviewed, and then a temp making 2/3rds of your pay replaces you fresh off the press. When I got there it was a &quot;family company&quot; and people had been there since vanilla launch and some managers there since Diablo 2. When I left it was &quot;every blizzard employee is a future former blizzard employee.&quot;<br><br>#1, at least for a significant amount of time that I recall, was harassment reports. I don&#39;t want to go into too much detail, but I want to say that at least half, if not more of the ticket issues at the time were reports of arguments in public chats. If someone said the f bomb in chat, we&#39;d here about it from 100 different t angles, and we&#39;d have to go through the drudgery of talking every single person that reported. This more often than not pissed people off because it happened hours ago, or even in some cases days ago, and they were busy playing the game. To add insult to injury, we spent most of that late BC and Wotlk period inundated with ticket issues. So they implemented a high tolerance harassment policy. We had to talk to people, tell them we were gonna look at the f bombs and do something, and then do nothing. So like half the workload was utterly pointless and demoralizing. Players knew we didn&#39;t do anything and then we&#39;d talk to them, lie to them, and it pissed them off, and wed get bad quality metrics and our jobs would be at risk. Complete insanity. With some rough math, those sets of policies and the quality metric, must&#39;ve cost blizzard at least $20 million per year paying us to piss their customers off with their own damn policies.<br><br>Besides that, after wotlk, they had us open up on a lot of the old policies, and gave us tools and access to them to start doing pretty common everyday mistakes like character deletions and accidentally traded items etc. So they had us put our problem solving hats and more or less let us have at, partially restoring jacked accounts and stuff to get people back to playing. We had to say yes, which was awesome. The work felt like it had purpose for once. Except for the other half of the workload that was a pure distraction from this crucial element of the game and players experiences. Talking to a quarter million people reporting f bombs per night? Waste of time. Hell, even talking to the people we were helping was mostly a formality and still having to do song and dance. It would&#39;ve been far far better for us to ignore harassments all together (get an email), and for the problems we could solve, just pop in and be like, hey, that thing, we fixed it, have a nice day. But we had to waste precious minutes causing the next person to wait doing the song and dance of customer service lingo. The whole thing was woefully inefficient, more often than not harmed customer service interactions and player experiences, and harmed blizzards reputation."
945,a line manager is indeed a direct supervisor. the &quot;line&quot; references that this manager is in a direct line between who they are responsible for and upper management.
946,"Mike had a policy that would let you talk to him directly if problems we&#39;re being handled by management.<br>Mike knew his middle management was obfuscating issues before they got to him.<br>Mikes response wasn&#39;t the immediate termination of malefactors.<br>Mike clearly WANTED issues to reach a boiling point before they got to him, he condoned ALL of it."
947,"QA, by definition, lags behind development. That is literally part of the job definition."
948,I had no idea Howard Stern was a software developer.
949,putting pronouns in your bio is such an efficient way to let people know you have brain damage and can be ignored
950,Blizzard from the top down has become the definition of stupid is as stupid does.
951,"Blizzard bad, Amazon good lol two things I never thought I&#39;d hear lol"
952,"Honestly, good discussion but sometimes I just wanted you to let the guy talk."
953,Dude stop interupting....heavy main charcheter vibes thinking what ever you have to say needs to be said immediately (most of it pretty basic and stupid). Felt like I was on a journey that constantly got interupted by shitty ads breaking the flow of the story.
954,"Devs, always remember to respect QA. You would never have the patience to do what they do, and your output would forever be mediocre without them."
955,"The so called manager who came with the &quot;Critical Task&quot; probably thought he was super smart, while being obviously clueless to his role. That&#39;s impressive."
956,AGS? Really then what happened with New World? 🤣
957,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3942"">1:05:42</a><br><br>You&#39;re talking about the H1B visa, not a green card holder. A GC holder is basically a step down from being a citizen - except unlike the H1B visa, they can work anywhere with no restriction. The H1B is a &quot;skilled worker&quot; visa - which essentially locks a holder into a specific industry and job role.<br>Once you lose work under an H1B visa, you have 60 days to get a new one (which is bullshit), after which you must return to your home country. <br><br>Obviously, I&#39;m not getting into the bullshit of <b>getting</b> and H1B because that process is also bullshit and out of scope for this discussion; but that&#39;s just me."
